raid,boss,class_id,spec_id,spec,n,median_dps,mean_dps,min_dps,max_dps
SSC,Morogrim,7,1,Enhancement Shaman,25,45956,45863.08,30591,65010
SSC,Morogrim,1,0,Arms Warrior,11,45783,45943.09,25619,65912
SSC,Morogrim,5,2,Shadow Priest,52,44742.5,43789.44,28455,56075
SSC,Morogrim,3,2,Survival Hunter,24,44551.5,44646.71,30411,60934
SSC,Morogrim,8,1,Fire Mage,25,43220,43447.28,29615,59468
SSC,Morogrim,6,0,Blood DK,23,42006,45298.48,31647,64370
SSC,Morogrim,4,0,Assassination Rogue,8,41636.0,42209.88,27671,57604
SSC,Morogrim,8,2,Frost Mage,4,40554.5,38891.0,31853,42602
SSC,Morogrim,2,2,Retribution Paladin,54,40164.0,40820.83,25099,62002
SSC,Morogrim,9,2,Destruction Warlock,5,38265,41588.8,29959,51717
SSC,Morogrim,6,1,Frost DK,12,38077.5,37411.42,25200,48150
SSC,Morogrim,4,2,Subtlety Rogue,5,33205,35746.8,28544,51935
SSC,The Lurker Below,9,0,Affliction Warlock,8,51354.0,50952.75,44926,57412
SSC,The Lurker Below,8,0,Arcane Mage,59,50254,50362.08,25413,83077
SSC,The Lurker Below,1,0,Arms Warrior,4,47487.0,45471.0,36925,49985
SSC,The Lurker Below,9,2,Destruction Warlock,4,44548.5,45858.25,40672,53664
SSC,The Lurker Below,7,1,Enhancement Shaman,8,44318.5,40788.62,29247,49120
SSC,The Lurker Below,5,2,Shadow Priest,46,43079.0,40613.98,26372,51868
SSC,The Lurker Below,7,0,Elemental Shaman,38,42957.5,43170.71,25130,59441
SSC,The Lurker Below,8,1,Fire Mage,34,42868.0,42671.85,29204,55764
SSC,The Lurker Below,3,2,Survival Hunter,20,42785.0,42093.45,32658,49147
SSC,The Lurker Below,11,0,Balance Druid,76,42738.0,42760.21,27155,58768
SSC,The Lurker Below,9,1,Demonology Warlock,56,42636.0,41745.11,26555,52636
SSC,The Lurker Below,6,1,Frost DK,3,40510,39336.0,36742,40756
SSC,The Lurker Below,6,0,Blood DK,3,39951,38499.67,34241,41307
SSC,The Lurker Below,8,2,Frost Mage,5,38435,37506.4,31085,43094
SSC,The Lurker Below,3,1,Marksmanship Hunter,36,38024.5,41376.53,28163,55879
SSC,The Lurker Below,2,2,Retribution Paladin,18,36748.0,37848.89,27308,49952
SSC,The Lurker Below,3,0,Beast Mastery Hunter,22,36724.5,38062.77,27488,55200
SSC,The Lurker Below,6,2,Unholy DK,7,35445,38038.0,30592,48109
SSC,The Lurker Below,1,1,Fury Warrior,2,35042.5,35042.5,33675,36410
SSC,The Lurker Below,11,1,Feral Druid,13,34922,37201.85,27730,53114
TK,Al'ar,9,1,Demonology Warlock,51,38178,37486.33,21542,51925
TK,Al'ar,11,0,Balance Druid,67,37498,38540.87,23535,63474
TK,Al'ar,3,2,Survival Hunter,20,36344.5,36454.8,25009,44522
TK,Al'ar,9,0,Affliction Warlock,10,36260.0,36131.9,30999,42202
TK,Al'ar,8,0,Arcane Mage,29,35756,35736.34,20669,47529
TK,Al'ar,5,2,Shadow Priest,48,35623.5,34614.98,20541,45012
TK,Al'ar,3,0,Beast Mastery Hunter,19,34119,33763.32,23025,47106
TK,Al'ar,3,1,Marksmanship Hunter,35,33748,34521.54,19081,49522
TK,Al'ar,4,1,Combat Rogue,13,32585,31941.31,20441,37911
TK,Al'ar,1,1,Fury Warrior,5,31963,29302.0,19181,32882
TK,Al'ar,7,0,Elemental Shaman,34,31871.0,34008.41,20052,59108
TK,Al'ar,11,1,Feral Druid,16,31807.0,31954.81,23321,56336
TK,Al'ar,2,2,Retribution Paladin,56,31404.0,32138.21,20669,49562
TK,Al'ar,1,0,Arms Warrior,13,29660,29155.85,19402,37840
TK,Al'ar,9,2,Destruction Warlock,6,29637.0,30067.0,23863,35329
TK,Al'ar,6,2,Unholy DK,11,29220,30118.55,20815,38358
TK,Al'ar,6,0,Blood DK,26,29190.5,30907.0,20928,44945
TK,Al'ar,7,1,Enhancement Shaman,25,28713,29069.32,19208,37861
TK,Al'ar,8,1,Fire Mage,14,26442.0,28264.29,19268,40046
TK,Al'ar,6,1,Frost DK,8,25808.0,26566.62,21588,33863
TK,Al'ar,4,0,Assassination Rogue,10,23335.0,23609.1,19706,32057
TK,Al'ar,8,2,Frost Mage,10,23249.5,24860.9,20683,40892
TK,Al'ar,4,2,Subtlety Rogue,5,23117,23986.0,20029,27733
TK,Kael'thas,9,0,Affliction Warlock,7,35751,35880.14,32279,39727
TK,Kael'thas,8,0,Arcane Mage,55,34310,35108.36,21585,49096
TK,Kael'thas,3,1,Marksmanship Hunter,23,31988,32588.65,16883,41501
TK,Kael'thas,8,1,Fire Mage,17,31382,31719.18,26184,37829
TK,Kael'thas,3,2,Survival Hunter,16,31304.0,30572.81,24444,35791
TK,Kael'thas,9,1,Demonology Warlock,43,31090,30751.79,22793,39044
TK,Kael'thas,11,0,Balance Druid,57,30340,29915.84,17269,38943
TK,Kael'thas,5,2,Shadow Priest,37,30310,29044.41,16170,36575
TK,Kael'thas,7,0,Elemental Shaman,33,30138,30283.24,17530,38605
TK,Kael'thas,8,2,Frost Mage,1,30123,30123.0,30123,30123
TK,Kael'thas,3,0,Beast Mastery Hunter,14,29566.0,29949.14,23572,38275
TK,Kael'thas,9,2,Destruction Warlock,3,28295,28052.0,26743,29118
TK,Kael'thas,4,1,Combat Rogue,11,27965,26912.09,18920,32671
TK,Kael'thas,1,0,Arms Warrior,9,25488,23766.56,15230,27676
TK,Kael'thas,1,1,Fury Warrior,5,25310,26199.0,23695,30564
TK,Kael'thas,2,2,Retribution Paladin,31,22899,23202.06,16260,28661
TK,Kael'thas,6,0,Blood DK,19,22895,23339.26,17354,35553
TK,Kael'thas,6,1,Frost DK,6,22259.5,21758.67,16844,24094
TK,Kael'thas,11,1,Feral Druid,11,22134,21756.91,15178,25323
TK,Kael'thas,6,2,Unholy DK,4,21934.5,22605.0,20646,25905
TK,Kael'thas,4,2,Subtlety Rogue,4,20925.0,20857.25,19262,22317
TK,Kael'thas,7,1,Enhancement Shaman,23,20566,21430.52,16383,28203
TK,Kael'thas,4,0,Assassination Rogue,7,17509,17621.43,15006,19292
TK,Solarian,9,0,Affliction Warlock,8,44612.5,44159.25,39151,48508
TK,Solarian,8,0,Arcane Mage,62,43823.0,45979.15,30356,65964
TK,Solarian,4,1,Combat Rogue,11,41650,40368.36,27443,50645
TK,Solarian,8,2,Frost Mage,1,41162,41162.0,41162,41162
TK,Solarian,5,2,Shadow Priest,41,40252,37388.8,20120,47501
TK,Solarian,8,1,Fire Mage,21,39435,39291.24,28031,47536
TK,Solarian,3,1,Marksmanship Hunter,28,39196.0,39003.5,26437,54474
TK,Solarian,3,0,Beast Mastery Hunter,14,38436.0,37521.5,25213,46022
TK,Solarian,9,1,Demonology Warlock,51,38158,37157.84,19930,47839
TK,Solarian,1,1,Fury Warrior,5,37982,37555.4,30847,46674
TK,Solarian,11,0,Balance Druid,65,37817,37793.89,22648,51533
TK,Solarian,7,0,Elemental Shaman,35,37724,37603.31,22551,51967
TK,Solarian,3,2,Survival Hunter,17,37701,37280.06,26514,42467
TK,Solarian,9,2,Destruction Warlock,4,35858.5,35612.75,33273,37461
TK,Solarian,1,0,Arms Warrior,12,35801.0,34045.67,21132,42086
TK,Solarian,11,1,Feral Druid,13,35328,33960.77,21569,41714
TK,Solarian,2,2,Retribution Paladin,46,35040.5,34820.5,23170,43983
TK,Solarian,6,0,Blood DK,25,34662,36011.4,25346,50013
TK,Solarian,7,1,Enhancement Shaman,29,34585,34072.45,25349,43225
TK,Solarian,4,0,Assassination Rogue,9,33674,32714.67,21609,39327
TK,Solarian,6,1,Frost DK,10,32548.0,31659.5,20685,39153
TK,Solarian,4,2,Subtlety Rogue,7,30957,30492.43,23761,37914
TK,Solarian,6,2,Unholy DK,8,30384.0,31754.62,27222,39159
TK,Void Reaver,9,0,Affliction Warlock,9,51563,49628.0,37126,55245
TK,Void Reaver,8,0,Arcane Mage,60,44982.0,45349.65,22458,68558
TK,Void Reaver,8,2,Frost Mage,4,44400.0,44262.75,40942,47309
TK,Void Reaver,4,1,Combat Rogue,12,42172.0,41438.5,26692,51274
TK,Void Reaver,5,2,Shadow Priest,60,41799.0,39276.88,21087,52144
TK,Void Reaver,3,2,Survival Hunter,24,40599.0,38745.67,27478,47310
TK,Void Reaver,7,0,Elemental Shaman,39,40312,40080.0,21504,52241
TK,Void Reaver,8,1,Fire Mage,34,40005.0,39986.47,21015,52862
TK,Void Reaver,4,0,Assassination Rogue,8,39604.5,40181.25,36461,45585
TK,Void Reaver,9,1,Demonology Warlock,56,39561.0,38889.73,25197,50352
TK,Void Reaver,3,1,Marksmanship Hunter,39,39300,42936.62,23904,60085
TK,Void Reaver,1,1,Fury Warrior,8,39156.5,36921.62,21712,45683
TK,Void Reaver,6,1,Frost DK,13,39087,36688.0,20859,44818
TK,Void Reaver,11,0,Balance Druid,82,38998.5,39354.66,22277,55894
TK,Void Reaver,6,2,Unholy DK,13,38056,36897.46,24086,50294
TK,Void Reaver,2,2,Retribution Paladin,70,37879.5,38190.07,22027,51559
TK,Void Reaver,11,1,Feral Druid,20,37037.0,37122.9,24819,49888
TK,Void Reaver,3,0,Beast Mastery Hunter,23,37000,36942.74,22906,52275
TK,Void Reaver,6,0,Blood DK,28,36606.0,37784.89,25767,54212
TK,Void Reaver,7,1,Enhancement Shaman,34,36570.5,36994.47,23623,48961
TK,Void Reaver,9,2,Destruction Warlock,10,35318.5,34690.0,21915,43225
TK,Void Reaver,1,0,Arms Warrior,18,35009.5,35657.06,21194,45657
TK,Void Reaver,4,2,Subtlety Rogue,8,34629.0,35947.25,31815,44492
