period,raid,boss,class_id,spec_id,spec,dps,map_id,difficulty,encounter_id,bossfight_id,datetime,duration,source_url
four_weeks_40,TK,Alar,7,1,Enhancement Shaman,28000,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=0&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Alar,3,0,Beast Mastery Hunter,27469,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=0&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Alar,2,2,Retribution Paladin,27409,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=0&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Alar,1,0,Arms Warrior,25205,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=0&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Alar,4,2,Subtlety Rogue,24658,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=0&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Alar,6,0,Blood DK,24319,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=0&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Alar,4,0,Assassination Rogue,23895,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=0&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Alar,1,1,Fury Warrior,23142,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=0&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Alar,9,2,Destruction Warlock,22755,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=0&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Alar,6,2,Unholy DK,21919,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=0&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Alar,8,2,Frost Mage,18020,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=0&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Alar,11,1,Feral Druid,16823,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=0&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Alar,6,1,Frost DK,12548,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=0&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Void Reaver,8,0,Arcane Mage,37710,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=1&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Void Reaver,3,2,Survival Hunter,34531,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=1&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Void Reaver,9,1,Demonology Warlock,33833,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=1&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Void Reaver,7,0,Elemental Shaman,33595,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=1&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Void Reaver,11,0,Balance Druid,31986,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=1&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Void Reaver,8,1,Fire Mage,31731,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=1&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Void Reaver,3,1,Marksmanship Hunter,30588,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=1&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Void Reaver,9,0,Affliction Warlock,30523,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=1&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Void Reaver,5,2,Shadow Priest,29737,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=1&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Void Reaver,4,1,Combat Rogue,28705,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=1&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Void Reaver,7,1,Enhancement Shaman,28000,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=1&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Void Reaver,3,0,Beast Mastery Hunter,27469,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=1&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Void Reaver,2,2,Retribution Paladin,27409,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=1&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Void Reaver,1,0,Arms Warrior,25205,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=1&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Void Reaver,4,2,Subtlety Rogue,24658,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=1&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Void Reaver,6,0,Blood DK,24319,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=1&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Void Reaver,4,0,Assassination Rogue,23895,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=1&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Void Reaver,1,1,Fury Warrior,23142,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=1&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Void Reaver,9,2,Destruction Warlock,22755,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=1&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Void Reaver,6,2,Unholy DK,21919,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=1&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Void Reaver,8,2,Frost Mage,18020,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=1&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Void Reaver,11,1,Feral Druid,16823,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=1&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Void Reaver,6,1,Frost DK,12548,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=1&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Solarian,8,0,Arcane Mage,37710,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=2&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Solarian,3,2,Survival Hunter,34531,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=2&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Solarian,9,1,Demonology Warlock,33833,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=2&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Solarian,7,0,Elemental Shaman,33595,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=2&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Solarian,11,0,Balance Druid,31986,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=2&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Solarian,8,1,Fire Mage,31731,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=2&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Solarian,3,1,Marksmanship Hunter,30588,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=2&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Solarian,9,0,Affliction Warlock,30523,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=2&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Solarian,5,2,Shadow Priest,29737,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=2&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Solarian,4,1,Combat Rogue,28705,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=2&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Solarian,7,1,Enhancement Shaman,28000,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=2&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Solarian,3,0,Beast Mastery Hunter,27469,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=2&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Solarian,2,2,Retribution Paladin,27409,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=2&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Solarian,1,0,Arms Warrior,25205,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=2&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Solarian,4,2,Subtlety Rogue,24658,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=2&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Solarian,6,0,Blood DK,24319,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=2&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Solarian,4,0,Assassination Rogue,23895,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=2&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Solarian,1,1,Fury Warrior,23142,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=2&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Solarian,9,2,Destruction Warlock,22755,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=2&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Solarian,6,2,Unholy DK,21919,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=2&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Solarian,8,2,Frost Mage,18020,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=2&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Solarian,11,1,Feral Druid,16823,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=2&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Solarian,6,1,Frost DK,12548,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=2&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Kaelthas,8,0,Arcane Mage,37710,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=3&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Kaelthas,3,2,Survival Hunter,34531,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=3&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Kaelthas,9,1,Demonology Warlock,33833,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=3&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Kaelthas,7,0,Elemental Shaman,33595,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=3&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Kaelthas,11,0,Balance Druid,31986,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=3&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Kaelthas,8,1,Fire Mage,31731,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=3&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Kaelthas,3,1,Marksmanship Hunter,30588,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=3&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Kaelthas,9,0,Affliction Warlock,30523,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=3&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Kaelthas,5,2,Shadow Priest,29737,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=3&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Kaelthas,4,1,Combat Rogue,28705,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=3&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Kaelthas,7,1,Enhancement Shaman,28000,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=3&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Kaelthas,3,0,Beast Mastery Hunter,27469,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=3&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Kaelthas,2,2,Retribution Paladin,27409,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=3&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Kaelthas,1,0,Arms Warrior,25205,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=3&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Kaelthas,4,2,Subtlety Rogue,24658,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=3&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Kaelthas,6,0,Blood DK,24319,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=3&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Kaelthas,4,0,Assassination Rogue,23895,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=3&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Kaelthas,1,1,Fury Warrior,23142,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=3&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Kaelthas,9,2,Destruction Warlock,22755,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=3&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Kaelthas,6,2,Unholy DK,21919,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=3&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Kaelthas,8,2,Frost Mage,18020,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=3&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Kaelthas,11,1,Feral Druid,16823,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=3&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Kaelthas,6,1,Frost DK,12548,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=3&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,SSC,Hydross,8,0,Arcane Mage,37710,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=39&boss=0&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,SSC,Hydross,3,2,Survival Hunter,34531,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=39&boss=0&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,SSC,Hydross,9,1,Demonology Warlock,33833,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=39&boss=0&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,SSC,Hydross,7,0,Elemental Shaman,33595,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=39&boss=0&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,SSC,Hydross,11,0,Balance Druid,31986,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=39&boss=0&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,SSC,Hydross,8,1,Fire Mage,31731,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=39&boss=0&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,SSC,Hydross,3,1,Marksmanship Hunter,30588,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=39&boss=0&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,SSC,Hydross,9,0,Affliction Warlock,30523,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=39&boss=0&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,SSC,Hydross,5,2,Shadow Priest,29737,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=39&boss=0&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,SSC,Hydross,4,1,Combat Rogue,28705,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=39&boss=0&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,SSC,Hydross,7,1,Enhancement Shaman,28000,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=39&boss=0&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,SSC,Hydross,3,0,Beast Mastery Hunter,27469,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=39&boss=0&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,SSC,Hydross,2,2,Retribution Paladin,27409,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=39&boss=0&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,SSC,Hydross,1,0,Arms Warrior,25205,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=39&boss=0&parsings=40&week_from=2026-07-16&week_to=2026-08-19
